Indicador;Territorio;Año;Sexo;Grupo de edad;Nivel de estudios;Desempleo registrado de larga duracion
Desempleo registrado de larga duracion;la Seu;2023;Mujer;Total;Total;52.7027027027027
Desempleo registrado de larga duracion;la Xerea;2023;Mujer;Total;Total;43.2098765432099
Desempleo registrado de larga duracion;el Carme;2023;Mujer;Total;Total;47.7011494252874
Desempleo registrado de larga duracion;el Pilar;2023;Mujer;Total;Total;49.6732026143791
Desempleo registrado de larga duracion;el Mercat;2023;Mujer;Total;Total;44.0476190476191
Desempleo registrado de larga duracion;Sant Francesc;2023;Mujer;Total;Total;49.4949494949495
Desempleo registrado de larga duracion;2.1 Russafa;2023;Mujer;Total;Total;53.4591194968553
Desempleo registrado de larga duracion;el Pla del Remei;2023;Mujer;Total;Total;45.8823529411765
Desempleo registrado de larga duracion;Gran Via;2023;Mujer;Total;Total;57.6576576576577
Desempleo registrado de larga duracion;el Botànic;2023;Mujer;Total;Total;48.4848484848485
Desempleo registrado de larga duracion;la Roqueta;2023;Mujer;Total;Total;43.3962264150943
Desempleo registrado de larga duracion;la Petxina;2023;Mujer;Total;Total;52.3041474654378
Desempleo registrado de larga duracion;Arrancapins;2023;Mujer;Total;Total;51.2987012987013
Desempleo registrado de larga duracion;Campanar;2023;Mujer;Total;Total;52.7777777777778
Desempleo registrado de larga duracion;les Tendetes;2023;Mujer;Total;Total;51.7587939698492
Desempleo registrado de larga duracion;el Calvari;2023;Mujer;Total;Total;55.0218340611354
Desempleo registrado de larga duracion;Sant Pau;2023;Mujer;Total;Total;49.4047619047619
Desempleo registrado de larga duracion;Marxalenes;2023;Mujer;Total;Total;57.1428571428572
Desempleo registrado de larga duracion;Morvedre;2023;Mujer;Total;Total;55.4347826086957
Desempleo registrado de larga duracion;Trinitat;2023;Mujer;Total;Total;52.5096525096525
Desempleo registrado de larga duracion;Tormos;2023;Mujer;Total;Total;54.6916890080429
Desempleo registrado de larga duracion;Sant Antoni;2023;Mujer;Total;Total;54.5762711864407
Desempleo registrado de larga duracion;Exposició;2023;Mujer;Total;Total;50.3496503496504
Desempleo registrado de larga duracion;Mestalla;2023;Mujer;Total;Total;50.1392757660167
Desempleo registrado de larga duracion;Jaume Roig;2023;Mujer;Total;Total;52.5
Desempleo registrado de larga duracion;Ciutat Universitària;2023;Mujer;Total;Total;37.2093023255814
Desempleo registrado de larga duracion;Nou Moles;2023;Mujer;Total;Total;53.380423814329
Desempleo registrado de larga duracion;Soternes;2023;Mujer;Total;Total;53.8461538461539
Desempleo registrado de larga duracion;Tres Forques;2023;Mujer;Total;Total;49.7685185185185
Desempleo registrado de larga duracion;la Fontsanta;2023;Mujer;Total;Total;54.2857142857143
Desempleo registrado de larga duracion;la Llum;2023;Mujer;Total;Total;56.2814070351759
Desempleo registrado de larga duracion;Patraix;2023;Mujer;Total;Total;54.3962485345838
Desempleo registrado de larga duracion;Sant Isidre;2023;Mujer;Total;Total;60.8272506082725
Desempleo registrado de larga duracion;Vara de Quart;2023;Mujer;Total;Total;58.0174927113703
Desempleo registrado de larga duracion;el Safranar;2023;Mujer;Total;Total;64.9546827794562
Desempleo registrado de larga duracion;Favara;2023;Mujer;Total;Total;54.6875
Desempleo registrado de larga duracion;la Raiosa;2023;Mujer;Total;Total;54.2372881355932
Desempleo registrado de larga duracion;l'Hort de Senabre;2023;Mujer;Total;Total;58.8321167883212
Desempleo registrado de larga duracion;la Creu Coberta;2023;Mujer;Total;Total;56.9811320754717
Desempleo registrado de larga duracion;Sant Marcel·lí;2023;Mujer;Total;Total;58.0188679245283
Desempleo registrado de larga duracion;Camí Real;2023;Mujer;Total;Total;56.3291139240506
Desempleo registrado de larga duracion;Mont-Olivet;2023;Mujer;Total;Total;55.4966887417219
Desempleo registrado de larga duracion;en Corts;2023;Mujer;Total;Total;57.8411405295316
Desempleo registrado de larga duracion;Malilla;2023;Mujer;Total;Total;58.0565805658057
Desempleo registrado de larga duracion;la Fonteta de Sant Lluís;2023;Mujer;Total;Total;55
Desempleo registrado de larga duracion;na Rovella;2023;Mujer;Total;Total;61.1814345991561
Desempleo registrado de larga duracion;la Punta;2023;Mujer;Total;Total;50.7042253521127
Desempleo registrado de larga duracion;Ciutat de les Arts i de les Ciències;2023;Mujer;Total;Total;53.6585365853659
Desempleo registrado de larga duracion;el Grau;2023;Mujer;Total;Total;56.7873303167421
